mic1,mic2,mic3,mic4,mic5,angle
345.53,344.33,330.26,221.24,383.51,14
358.43,339.15,324.4,218.26,382.55,14
266.66,243.93,233.84,161,272.08,13
301.73,257.35,267.86,205.46,309.81,13
448.4,408.03,440.29,355.13,460.27,13
459.21,447.22,462.86,372.04,458.95,14
361.81,347.67,339.1,275.44,350.68,13
246.91,235.95,233.63,190.84,242.54,14
152.53,145.61,149.42,121.35,150.48,13
96.34,93.68,99.73,82.22,98.38,13
66.77,70.88,71.17,60.36,70.23,14
50.86,57.55,54.12,46.08,54.1,13
42.32,44.86,43.78,37.68,44.73,14
39.54,41.34,40.3,36.16,40.8,14
159.05,159.03,221.6,180.47,186.24,13
291.22,269.22,369.29,298.58,332.91,13
295.66,267.2,334.49,258.38,320.52,14
386.42,363.92,444.22,377.01,468.97,14
548.3,507.63,632.73,601.96,719.99,14
527.84,493.94,597,583.81,688.44,14
363.44,344.08,399.54,386.44,464.23,14
262.83,242.2,288.12,259.29,322.84,14
315.26,289.2,333.48,278.28,372.16,14
387.09,374.45,430.07,350.58,471.05,13
517.34,505.48,573.95,512.86,606.57,13
679.49,673.31,756.61,732.62,798.02,14
604.67,594.51,686.75,658.93,708.13,14
619.65,567.73,663.21,588.92,655.23,14
805.33,758.63,831.16,728.57,820.79,14
771.94,776.26,814.35,687.66,792.44,14
583.11,605.45,635.85,495.62,616.76,13
405.2,413.51,443.72,343.52,448.82,13
355.38,347.29,373.09,287.09,387.95,14
387.47,355.52,390.5,303.54,432.68,13
358.32,319.17,363.96,288.46,412.27,14
340,300.68,346.53,270.55,398.28,13
372.99,342.43,370.9,279.37,456,14
432.76,415.62,420.19,284.69,468.19,14
462.28,458.11,447.83,283.64,464.51,14
501.11,505.87,493.57,292.66,491.28,14
528.07,528.64,526.77,300.23,492.1,14
435.76,424.11,434.6,275.26,439.22,14
292.68,277.75,288.97,208.44,323.89,13
224.22,218.58,228.02,164.24,246.73,13
186.58,188.66,198.85,137.59,207.89,13
199.21,198.39,215.18,158.82,226.59,13
244.77,228.08,264.82,203.61,284.4,14
236.04,214.42,272.31,207.62,296.64,14
307.26,306.97,373.52,269.96,408.45,16
493.6,465.24,536.07,384.25,585.62,16
639.14,555.49,629.99,448.2,643.65,17
584.57,523.46,575.01,404.83,550.35,17
475.05,442.92,472.45,336.06,449.78,17
433.19,399.69,424.42,299.22,417.85,17
376.92,348.44,375.69,262.78,379.43,17
320.3,292.29,310.82,227.26,334.28,17
288.36,259.88,262.38,208.73,315.98,17
251.61,236.51,234.23,187.58,284.91,17
274.99,282.88,285.52,205.71,289.74,17
422.49,427.57,427.27,290.48,430.91,17
583.62,576.47,551.69,351.21,571.99,17
618.7,592.74,557.1,354.46,604.75,18
494.77,460.19,444.93,318.86,552.04,17
348.58,327.42,330.93,250.56,421.25,17
326.07,303.55,317.34,226.86,367.11,17
370.98,331.26,328.41,243.42,411.28,17
328.2,281.65,265.58,210.71,376.72,17
298.46,256.24,249.53,200.57,341.47,18
318.08,289.11,310.23,240.94,357.98,17
381.87,353.61,374.19,289.73,420.15,17
450.54,404.23,380.08,290.1,452.83,17
383.35,342.21,308.08,221.2,347.72,18
366.69,330.63,318.8,211.78,310.32,17
499.99,441.49,453.01,296.27,439.26,17
606.61,540.7,536.91,376.23,562.97,17
645.29,595.59,577.36,455.96,691.36,18
710.41,665.35,664.44,608.74,845.38,17
767.59,706.06,673.55,666.95,888.94,17
632.96,571.68,532.48,513.74,709.44,17
386.75,352.62,352.96,320.71,431.68,18
270.93,250.48,258.31,222.59,301.55,17
