mic1,mic2,mic3,mic4,mic5,angle
147.16,154.99,164.83,130.42,173.48,7
102.62,111.25,123.79,91.02,123.77,7
89.65,107.54,104.29,80.73,115.03,8
138.59,170.63,166.31,124.13,163.31,9
234.65,276.71,297.16,219.21,273.6,9
342.63,379.64,386.97,302.3,388.3,10
384.64,400.61,400.61,311.24,399.87,9
302.34,299.2,317.61,240.37,311,9
195.08,190.09,209.02,153.89,210.6,9
137.91,135.07,149.96,109.72,150.79,9
115.72,112.32,125.12,95.27,126.74,9
132.59,125.32,134.15,103.51,143.6,9
167.45,152.42,151.53,118.09,178.45,9
161.26,145.29,144.58,112.79,179.67,9
159.7,151.36,166.78,122.45,189.39,9
208.61,195.89,222.58,159.05,236.3,9
254.46,235.39,270.12,194.17,267.71,9
249.7,250.02,289.42,206.52,261.87,9
198.68,210.09,242.13,175.67,219.62,9
170.87,175.86,197.84,155.27,199.96,9
228.06,222.07,245.73,192.43,245.64,9
287.08,268.89,303.95,224.5,271.39,9
245.45,228.06,258.31,186.73,221.72,9
169.69,155.6,175.69,127.33,158.5,10
145.93,131.65,148.35,107.09,142.01,9
131.62,117.71,128.82,93.66,129.57,9
97.86,90.6,95.91,71.83,99.89,8
72.82,70.47,74.2,59.96,75.56,9
68.61,68.33,76.73,59.74,71.95,9
86.25,87.3,99.09,69.9,92.77,9
91.39,90.5,100.24,71.86,103.4,9
108.41,105.08,119.01,85.55,125.44,9
166.07,165.05,192.4,147.44,208.9,9
209.07,211.88,243.6,191.94,260.11,9
183.46,186.36,212,166.15,219.89,9
163.4,164.19,178.05,141.22,185.04,9
216.76,214.06,209.82,155.22,201.52,9
251.3,254.67,249.11,174.72,233.78,9
253.55,266.3,271.53,195.89,259.47,9
297.27,308.23,314.31,244.71,305.14,9
313.4,322.23,331.37,272.82,347.15,9
245.55,258.77,273.34,222.94,292.09,9
160.9,175.69,191.66,148.38,191.41,9
102.86,112.25,126.8,96.32,125.23,9
70.89,76.75,87.69,64.85,84,9
53.97,58.46,68.47,47.23,65.59,9
48.01,49.63,61.55,38.99,55.99,9
43.22,46.22,55.07,36.37,48.58,9
40.49,45.4,49.78,35.47,47.35,9
64.88,66.96,75.46,51.03,72.52,9
101.75,104.75,116.12,82.33,120.8,9
118.13,121.37,133.28,99.62,158.91,9
107.07,107.56,118.32,87.37,148.43,9
192.14,190.25,199.21,141.46,193.65,9
322.6,331.17,367.17,288.5,351.59,9
323.51,351.89,440.48,367.87,447.89,9
244.38,277.12,366.14,302.91,375.27,9
199.49,220.17,268.78,222.15,294.1,9
214.08,223.91,254.78,216.82,313.89,9
216.67,224.43,248.91,217.14,324.94,9
221.85,225.66,249.43,225.2,331.9,9
260.17,264.07,285.8,264.07,370.68,9
270.85,280.29,304.54,279.34,377.52,9
237.21,250.99,293.53,252.88,321.81,9
188.1,198.4,242.83,193.17,238.71,9
131.64,136.29,166.89,128.54,162.59,9
104.8,109.86,133.95,103.42,130.51,9
131.43,135.5,157.64,120.43,146.52,9
176.64,180.21,198.21,150.83,181.89,9
173.95,179.15,190.7,145.17,186.73,9
141.22,144.18,156.66,119.03,160.8,9
109.8,110.62,125.03,95.59,129.82,9
76.67,77.81,93.22,68.29,92.85,9
58.42,56.15,70.4,50.7,68.06,10
50.57,45.56,55.87,40.33,55.36,9
45.52,41.23,51.15,38.02,52.08,9
44.31,40.4,49.64,37.05,48.46,9
43.21,39.73,45.27,33.68,48.72,9
38.81,40.1,42.03,33.12,51,9
62.09,65.63,70.23,51.23,60.33,9
146.91,146.85,145.18,105.39,141.69,9
229.19,221.98,213.23,165.92,245.11,9
244.64,239.2,233.44,186.28,273.98,9
306.97,302.22,300.4,213.16,314.15,9
423.64,433.6,448.19,317.07,440.06,9
443.65,467.26,490.89,385.41,511.99,9
348.68,354.78,381.69,324.97,428.09,9
306.04,309.94,341.44,289.13,375.93,9
373.43,388.14,412.47,329.23,434.29,9
427.97,432.54,447.86,357.09,497.74,9
402.17,399.05,398.44,322.62,467.74,9
297.38,296.47,287.79,229.57,334.23,9
