mic1,mic2,mic3,mic4,mic5,angle
119.67,124.43,131.84,120.38,158.50,0
80.14,84.78,88.17,78.12,101.13,0
293.31,296.69,300.13,280.31,303.07,0
627.84,631.76,643.12,621.30,644.17,0
777.81,777.22,809.44,745.70,820.04,0
773.60,783.33,857.52,772.62,912.06,0
765.66,791.30,879.27,830.89,962.71,0
813.63,845.90,915.48,801.30,970.50,0
832.22,865.31,935.81,725.14,937.27,0
819.20,832.65,908.17,696.86,921.36,0
843.49,845.25,906.41,761.71,950.12,0
913.30,918.04,957.14,880.42,981.85,0
894.99,883.60,929.10,840.30,953.95,0
714.74,702.11,768.88,644.85,789.03,0
549.68,562.21,632.68,479.73,607.33,0
477.64,504.50,560.16,385.91,516.09,0
386.25,404.09,453.94,314.24,454.37,0
302.70,294.32,333.72,241.69,361.92,0
213.68,198.31,221.98,160.08,236.93,0
133.99,124.77,144.06,102.43,145.88,0
90.48,84.24,96.70,71.86,98.37,0
296.80,286.37,301.71,283.73,306.17,0
637.79,625.41,641.31,627.86,645.79,0
795.19,802.84,819.26,788.81,816.34,0
779.32,803.15,827.74,753.04,841.52,0
667.53,695.98,732.00,604.33,757.60,0
703.85,725.87,761.88,594.37,770.94,0
851.18,858.85,879.79,744.32,882.37,0
931.42,933.99,945.87,874.69,947.69,0
945.56,948.81,967.93,895.64,975.57,0
928.32,928.82,969.16,850.15,988.92,0
856.45,867.71,929.64,761.39,933.26,0
711.13,733.74,798.57,616.57,818.39,0
529.86,539.27,588.88,445.37,632.22,0
346.09,345.27,384.78,281.44,402.38,0
214.57,211.27,241.21,171.74,246.57,0
133.02,128.66,149.55,110.19,150.44,0
89.50,85.08,100.04,75.20,95.48,0
284.81,288.00,300.11,223.32,297.26,0
619.34,627.46,636.89,535.85,637.55,0
804.69,803.66,816.24,710.67,794.83,0
826.83,810.52,822.34,651.07,766.46,0
684.91,670.18,692.85,503.54,636.43,1
477.45,466.42,499.28,355.06,467.45,3
312.29,319.44,318.90,239.57,317.35,5
233.50,285.76,231.93,202.24,265.07,8
408.49,463.49,401.46,392.89,439.07,9
700.86,729.09,696.71,692.01,716.58,11
853.21,867.46,850.80,848.11,860.69,10
908.09,870.83,879.58,858.81,933.04,11
871.23,774.57,767.66,727.90,890.23,11
871.36,783.14,749.18,671.53,859.52,11
874.77,764.91,739.77,682.03,899.91,11
